# bkg-pred	mb=200GeV-pred	mb=300GeV-pred	mb=500GeV-pred	mb=700GeV-pred	mb=900GeV-pred	mb=1100GeV-pred
5.120461583137512207e-01 7.439058423042297363e-01 9.591726064682006836e-01 9.327214956283569336e-01 4.416786432266235352e-01 9.997619986534118652e-01 1.975018978118896484e-01
8.402352780103683472e-02 9.234270453453063965e-01 5.574416518211364746e-01 9.940563440322875977e-01 6.552253961563110352e-01 5.372077226638793945e-01 4.764184355735778809e-01
2.625771462917327881e-01 8.403079509735107422e-01 8.347548842430114746e-01 9.884728789329528809e-01 6.655194610357284546e-02 9.809571504592895508e-01 4.768519401550292969e-01
2.104146480560302734e-01 9.971528053283691406e-01 8.061378598213195801e-01 9.314336776733398438e-01 9.627491831779479980e-01 9.070074558258056641e-01 3.033308982849121094e-01
1.807263940572738647e-01 8.250077366828918457e-01 9.305986762046813965e-01 7.600083351135253906e-01 8.685922026634216309e-01 9.981693029403686523e-01 5.045115351676940918e-01
8.747147321701049805e-01 9.425972104072570801e-01 9.851094484329223633e-01 9.880198836326599121e-01 9.137905240058898926e-01 9.320762753486633301e-01 6.887794286012649536e-02
7.284600138664245605e-01 3.621307909488677979e-01 9.964612126350402832e-01 8.253526091575622559e-01 9.694828987121582031e-01 7.773734331130981445e-01 6.860961318016052246e-01
7.156500220298767090e-01 9.941381216049194336e-01 9.975861310958862305e-01 4.526864886283874512e-01 3.427268862724304199e-01 9.897446036338806152e-01 9.519843459129333496e-01
1.537746787071228027e-01 8.120767474174499512e-01 8.573769927024841309e-01 6.930453181266784668e-01 6.839513182640075684e-01 6.487794518470764160e-01 8.129777759313583374e-02
1.251881122589111328e-01 9.945928454399108887e-01 9.921079277992248535e-01 7.435147762298583984e-01 9.411079287528991699e-01 4.993718266487121582e-01 5.689551234245300293e-01
2.544946074485778809e-01 9.773294329643249512e-01 9.991818070411682129e-01 9.947471022605895996e-01 5.870871543884277344e-01 9.956822395324707031e-01 8.404518365859985352e-01
1.477211862802505493e-01 2.512234747409820557e-01 5.354388952255249023e-01 2.760776281356811523e-01 4.967885315418243408e-01 3.094015121459960938e-01 5.493397116661071777e-01
2.350313961505889893e-01 9.720603823661804199e-01 9.835690855979919434e-01 9.527388215065002441e-01 9.285467863082885742e-01 9.422378540039062500e-01 9.144064188003540039e-01
2.322025895118713379e-01 8.661242127418518066e-01 6.641440987586975098e-01 8.266422748565673828e-01 9.562024474143981934e-01 2.229002416133880615e-01 2.045886069536209106e-01
5.319456011056900024e-02 9.118721485137939453e-01 9.880893826484680176e-01 9.733062386512756348e-01 9.715974330902099609e-01 8.052142858505249023e-01 3.541854321956634521e-01
3.436611890792846680e-01 9.403656721115112305e-01 9.677272439002990723e-01 8.370239734649658203e-01 4.495406448841094971e-01 9.173092842102050781e-01 9.924865961074829102e-01
3.942505121231079102e-01 6.865204572677612305e-01 9.989256262779235840e-01 4.094536006450653076e-01 3.699187338352203369e-01 4.868151247501373291e-01 8.901111483573913574e-01
2.325456589460372925e-01 1.257860064506530762e-01 7.867274880409240723e-01 2.404074668884277344e-01 9.311600923538208008e-01 8.915437459945678711e-01 8.542410731315612793e-01
2.626275122165679932e-01 9.980735778808593750e-01 3.909275233745574951e-01 9.880693554878234863e-01 9.896626472473144531e-01 7.651305198669433594e-01 2.928041219711303711e-01
4.870744347572326660e-01 9.407424330711364746e-01 9.365457296371459961e-01 8.789076805114746094e-01 9.731491804122924805e-01 9.631647467613220215e-01 8.901474475860595703e-01
7.928843498229980469e-01 9.764071702957153320e-01 9.967818260192871094e-01 7.583477348089218140e-02 9.612994790077209473e-01 3.581773638725280762e-01 6.993861794471740723e-01
8.947330713272094727e-02 9.790205359458923340e-01 9.510468840599060059e-01 9.949235320091247559e-01 9.978906512260437012e-01 9.992818236351013184e-01 9.865647554397583008e-01
5.483648777008056641e-01 8.224532604217529297e-01 9.984542131423950195e-01 4.808001220226287842e-01 9.787604212760925293e-01 7.270935773849487305e-01 8.710485696792602539e-01
6.563683748245239258e-01 7.754259109497070312e-01 8.439328074455261230e-01 7.642569541931152344e-01 6.997967958450317383e-01 4.276672005653381348e-01 5.466543436050415039e-01
2.775232493877410889e-01 9.991081357002258301e-01 5.573159456253051758e-01 9.950609803199768066e-01 9.993107318878173828e-01 7.497206330299377441e-01 3.759173154830932617e-01
2.934223711490631104e-01 5.879058241844177246e-01 8.353888988494873047e-01 9.937839508056640625e-01 6.544793844223022461e-01 8.526493310928344727e-01 9.653648138046264648e-01
2.583785951137542725e-01 9.989750385284423828e-01 8.162096738815307617e-01 8.756237030029296875e-01 5.838420987129211426e-01 2.699516713619232178e-01 5.169190764427185059e-01
3.041110634803771973e-01 8.367934823036193848e-01 6.274809241294860840e-01 9.983648657798767090e-01 8.154451251029968262e-01 9.325796365737915039e-01 9.887664914131164551e-01
3.717939555644989014e-01 9.739893674850463867e-01 9.994217157363891602e-01 7.032001018524169922e-01 9.609740972518920898e-01 7.635751962661743164e-01 4.428437352180480957e-01
2.308977842330932617e-01 5.341511964797973633e-01 9.893725514411926270e-01 6.374926567077636719e-01 9.128403067588806152e-01 7.385029196739196777e-01 4.916521310806274414e-01
5.476275682449340820e-01 9.814115166664123535e-01 5.920138955116271973e-01 9.931054711341857910e-01 5.272651910781860352e-01 6.500032544136047363e-01 9.329010248184204102e-01
1.076999753713607788e-01 1.258389949798583984e-01 9.646828174591064453e-01 8.548247218132019043e-01 6.585253477096557617e-01 5.931151509284973145e-01 5.825019478797912598e-01
3.669211566448211670e-01 5.566980838775634766e-01 9.588421583175659180e-01 5.901853442192077637e-01 5.329535007476806641e-01 7.001146078109741211e-01 3.095565140247344971e-01
1.304470300674438477e-01 9.966735839843750000e-01 8.349787592887878418e-01 2.797045409679412842e-01 2.598269879817962646e-01 9.693808555603027344e-01 1.944728940725326538e-01
4.064307734370231628e-02 9.875061511993408203e-01 9.992351531982421875e-01 9.507905244827270508e-01 8.674780279397964478e-02 3.630516231060028076e-01 5.051442384719848633e-01
4.471041262149810791e-02 9.982446432113647461e-01 9.998939037322998047e-01 9.647030234336853027e-01 9.416202902793884277e-01 4.463940262794494629e-01 7.924240231513977051e-01
4.694506153464317322e-02 9.990806579589843750e-01 9.990592598915100098e-01 7.318643331527709961e-01 9.916049242019653320e-01 6.861217021942138672e-01 6.341089010238647461e-01
6.499511599540710449e-01 8.331037163734436035e-01 9.142087697982788086e-01 2.989076972007751465e-01 9.968885779380798340e-01 9.775658845901489258e-01 7.997772693634033203e-01
4.975432455539703369e-01 8.134601116180419922e-01 8.145684003829956055e-01 9.496408700942993164e-01 9.761645793914794922e-01 9.703509211540222168e-01 6.583498120307922363e-01
