# bkg-pred	mN=200GeV-pred	mN=300GeV-pred	mN=500GeV-pred	mN=700GeV-pred	mN=900GeV-pred	mN=1100GeV-pred
7.906645769253373146e-04 6.885322928428649902e-01 2.566242516040802002e-01 9.808393716812133789e-01 8.715859055519104004e-01 6.034563183784484863e-01 6.223027110099792480e-01
5.604803096503019333e-03 9.164353013038635254e-01 3.596515357494354248e-01 1.498932689428329468e-01 9.234226942062377930e-01 1.829243004322052002e-01 9.450877308845520020e-01
8.806223422288894653e-02 9.721374511718750000e-01 8.259350657463073730e-01 9.877096414566040039e-01 9.986585378646850586e-01 3.209974169731140137e-01 5.915195345878601074e-01
1.392513215541839600e-01 4.609286785125732422e-01 9.991689920425415039e-01 9.983949065208435059e-01 9.987031221389770508e-01 3.743058070540428162e-02 9.255647659301757812e-01
2.235814183950424194e-02 9.777937531471252441e-01 9.998925924301147461e-01 7.737535238265991211e-01 9.008532166481018066e-01 3.608929514884948730e-01 9.961122870445251465e-01
7.435247302055358887e-01 9.998107552528381348e-01 9.955006241798400879e-01 8.730494976043701172e-01 3.323003053665161133e-01 2.988875210285186768e-01 9.726047515869140625e-01
8.060259744524955750e-03 6.306918859481811523e-01 9.873051047325134277e-01 9.987179040908813477e-01 1.764678955078125000e-01 5.259284973144531250e-01 9.896762967109680176e-01
5.573677271604537964e-02 7.170822620391845703e-01 5.915063619613647461e-01 9.972192049026489258e-01 2.224300354719161987e-01 1.547685712575912476e-01 9.999252557754516602e-01
6.189343333244323730e-01 9.990845918655395508e-01 8.260878920555114746e-01 5.727061033248901367e-01 5.852053761482238770e-01 2.312823832035064697e-01 9.676592350006103516e-01
2.011148780584335327e-01 6.147861480712890625e-01 9.738968610763549805e-01 9.815902113914489746e-01 4.878727346658706665e-02 3.308396786451339722e-02 9.411622285842895508e-01
4.987759888172149658e-01 1.821989864110946655e-01 3.750167191028594971e-01 1.215265914797782898e-01 1.800061017274856567e-01 1.517764031887054443e-01 8.757340908050537109e-01
4.347879588603973389e-01 9.745832085609436035e-01 4.775614142417907715e-01 9.962692260742187500e-01 3.317741304636001587e-02 9.999907016754150391e-01 6.763374805450439453e-01
5.186093971133232117e-02 9.911103248596191406e-01 2.584558129310607910e-01 4.660372436046600342e-01 4.551542550325393677e-02 2.747668921947479248e-01 9.971060156822204590e-01
