# bkg-pred	mN=2000GeV-pred	mN=2200GeV-pred	mN=2300GeV-pred	mN=2700GeV-pred	mN=3000GeV-pred
2.468207627534866333e-01 9.737589359283447266e-01 8.734811544418334961e-01 8.992531299591064453e-01 5.577982068061828613e-01 5.602502822875976562e-01
3.905478119850158691e-02 3.840010762214660645e-01 4.969515800476074219e-01 3.910820186138153076e-01 7.672842144966125488e-01 7.041984796524047852e-01
5.203703790903091431e-02 9.755245447158813477e-01 2.609090209007263184e-01 1.249851062893867493e-01 3.550861477851867676e-01 2.188481837511062622e-01
1.965853422880172729e-01 7.739481925964355469e-01 2.136854082345962524e-01 9.384112358093261719e-01 6.010986566543579102e-01 9.855566620826721191e-01
2.431712150573730469e-01 5.385757684707641602e-01 8.382349014282226562e-01 9.760493040084838867e-01 7.287051677703857422e-01 1.136743426322937012e-01
1.378418356180191040e-01 1.738752424716949463e-01 9.865964055061340332e-01 9.799139499664306641e-01 2.566356956958770752e-01 9.695838689804077148e-01
1.327009052038192749e-01 7.184919714927673340e-01 8.376017808914184570e-01 3.361674845218658447e-01 9.974937438964843750e-01 2.640511095523834229e-01
4.603834450244903564e-01 8.231260776519775391e-01 9.999359846115112305e-01 9.718555212020874023e-01 4.155293107032775879e-01 8.230887055397033691e-01
2.599796839058399200e-02 8.410540223121643066e-01 9.929834604263305664e-01 9.888988137245178223e-01 2.290217876434326172e-01 6.937415599822998047e-01
5.728368759155273438e-01 6.111795902252197266e-01 6.900683641433715820e-01 9.988977909088134766e-01 9.998193383216857910e-01 5.815458297729492188e-01
2.929922379553318024e-02 9.999929666519165039e-01 1.702587306499481201e-01 9.949572682380676270e-01 8.190150856971740723e-01 9.999918937683105469e-01
2.429555505514144897e-01 9.971619844436645508e-01 9.998251795768737793e-01 9.810133576393127441e-01 1.370200216770172119e-01 9.027584791183471680e-01
4.798850417137145996e-01 8.501330614089965820e-01 3.840394690632820129e-02 9.983750581741333008e-01 7.965669035911560059e-01 7.571966648101806641e-01
2.207132726907730103e-01 9.855647683143615723e-01 7.189217805862426758e-01 8.060665726661682129e-01 3.578131794929504395e-01 9.947127103805541992e-01
6.582625210285186768e-02 9.211339950561523438e-01 4.431177377700805664e-01 5.547113418579101562e-01 3.668245673179626465e-01 4.544822573661804199e-01
3.750912845134735107e-01 9.811112284660339355e-01 9.997457861900329590e-01 9.489316344261169434e-01 2.215180844068527222e-01 3.638221025466918945e-01
2.350998669862747192e-01 9.529646039009094238e-01 9.972131848335266113e-01 7.220939397811889648e-01 2.676474153995513916e-01 6.705152988433837891e-01
5.646170973777770996e-01 1.198375746607780457e-01 9.996525049209594727e-01 9.706906676292419434e-01 5.697323679924011230e-01 8.569383621215820312e-01
4.654397780541330576e-04 3.934144377708435059e-01 7.320250868797302246e-01 9.985463619232177734e-01 9.999473094940185547e-01 8.243542909622192383e-01
4.483686983585357666e-01 9.892989397048950195e-01 6.792297363281250000e-01 5.568573474884033203e-01 7.475256323814392090e-01 5.444202423095703125e-01
6.033037230372428894e-02 6.843847632408142090e-01 4.393384158611297607e-01 9.750382304191589355e-01 4.939345717430114746e-01 4.221784472465515137e-01
4.581644758582115173e-02 4.281460046768188477e-01 5.394793152809143066e-01 9.566171169281005859e-01 5.506307482719421387e-01 9.284836053848266602e-01
6.944823861122131348e-01 9.254472255706787109e-01 9.673913121223449707e-01 7.613123655319213867e-01 6.064600944519042969e-01 8.418995738029479980e-01
7.249204791150987148e-04 2.157434076070785522e-01 9.419660568237304688e-01 8.499262332916259766e-01 1.674074232578277588e-01 3.758673965930938721e-01
3.268212378025054932e-01 7.801496982574462891e-01 2.850071191787719727e-01 2.569220960140228271e-01 6.653012633323669434e-01 7.407262325286865234e-01
3.313772976398468018e-01 9.999059438705444336e-01 3.935028985142707825e-02 9.427284598350524902e-01 3.811616450548171997e-02 9.924860000610351562e-01
8.524773120880126953e-01 3.461329340934753418e-01 9.411327838897705078e-01 9.991945624351501465e-01 6.623900532722473145e-01 3.116191923618316650e-01
2.076270431280136108e-01 8.377593159675598145e-01 9.407778978347778320e-01 4.904691874980926514e-01 3.533322811126708984e-01 3.907723426818847656e-01
4.360608458518981934e-01 8.378463387489318848e-01 9.404645562171936035e-01 1.394108980894088745e-01 9.999102354049682617e-01 5.054423213005065918e-01
4.927256703376770020e-02 6.008313894271850586e-01 9.995368719100952148e-01 9.560403823852539062e-01 7.405704855918884277e-01 7.840421199798583984e-01
